Gene	IID	a	b	c	reps	outlier
DAZ	46	2.35	5.59	5.53	3	2.35
CDY	46	2.865497076	5.292397661	5.730994152	3	2.865497076
HSFY	46	1.833333333	2.461988304	2.538011696	3	1.833333333
BPY	46	3.304093567	3.684210526	4.035087719	3	3.304093567
RBMY	46	6.286549708	6.959064327	7.222222222	3	6.286549708
XKRY	46	2.350877193	2.149122807	2.096491228	3	2.350877193
TSPY	46	35.81871345	36.69590643	37.54385965	3	35.81871345
HSFY	47	1.178761062	2.346902655	2.585840708	3	1.178761062
CDY	47	3.228318584	4.072566372	4.25840708	3	3.228318584
RBMY	47	9.504424779	11.78761062	11.78761062	3	9.504424779
VCY	47	3.185741088	2.954971857	3.360225141	3	2.954971857
XKRY	47	1.863716814	1.932743363	2.092035398	3	2.092035398
PRY	47	2.31	2.14	2.1	3	2.31
BPY	47	3.361061947	3.520353982	3.6	3	3.361061947
TSPY	47	31.69911504	33.50442478	33.45132743	3	31.69911504
DAZ	47	4.32	4.44	4.33	3	4.44
CDY	48	2.126825793	3.195582472	3.281083007	3	2.126825793
BPY	48	1.85	2.28	2.32	3	1.85
HSFY	48	1.977199857	2.158888493	2.116138226	3	1.977199857
VCY	48	2.070402964	2.18156554	2.014821677	3	2.18156554
RBMY	48	9.180619879	9.640185251	9.148557178	3	9.640185251
XKRY	48	2.06	2.01	1.95	3	1.95
PRY	48	2.74	2.83	2.77	3	2.83
DAZ	48	2.74	2.78	2.81	3	2.74
TSPY	48	32.28	32.17	32.28	3	32.17
TSPY	49	28.34355828	31.35913167	32.08117036	3	28.34355828
XKRY	49	2.05285512	1.982067013	1.812175555	3	1.812175555
VCY	49	2.262535671	2.042397065	2.274765593	3	2.042397065
HSFY	49	2.279377065	2.350165172	2.123643228	3	2.123643228
PRY	49	2.08	1.91	1.94	3	2.08
DAZ	49	3.96	4.01	3.86	3	3.86
BPY	49	3.185464842	3.213780085	3.284568193	3	3.284568193
CDY	49	4.233128834	4.346389807	4.332232185	3	4.233128834
RBMY	49	7.489381784	7.503539405	7.390278433	3	7.390278433
BPY	50	4.1	5.71	5.8	3	4.1
CDY	50	4.25	5.89	5.86	3	4.25
HSFY	50	1.77	2.12	2.27	3	1.77
RBMY	50	12.69	15.64	15.62	3	12.69
PRY	50	2.05	2.24	2.26	3	2.05
TSPY	50	33.28	36.47	35.98	3	33.28
DAZ	50	6.5	6.05	6.33	3	6.05
VCY	50	2.266386555	2.394957983	2.344537815	3	2.266386555
XKRY	50	2.31	2.32	2.25	3	2.25
VCY	51	1.808690404	2.969221485	2.987326494	3	1.808690404
BPY	51	3.15	3.47	3.05	3	3.47
HSFY	51	1.99	2.18	2.12	3	1.99
DAZ	51	3.78	3.73	3.96	3	3.96
PRY	51	2.08	2.21	2.14	3	2.21
RBMY	51	13.71	14.44	13.96	3	14.44
XKRY	51	2.04	1.99	2.04	3	1.99
CDY	51	3.79	3.81	3.88	3	3.88
TSPY	51	31.75	32.07	32.29	3	31.75
VCY	52	1.853413655	2.449799197	2.530120482	3	1.853413655
HSFY	52	1.77	2.05	2.29	3	1.77
RBMY	52	10.57	9.7	12.38	3	12.38
BPY	52	2.81	3.18	3.15	3	2.81
CDY	52	3.54	3.83	3.95	3	3.54
PRY	52	2.05	2.09	2.19	3	2.19
